Agency Name,State Name [District] Latest available year,State Abbr [District] Latest available year,Agency Name [District] 2021-22,Agency ID - NCES Assigned [District] Latest available year,Total Expenditures (TOTALEXP) per Pupil (V33) [District Finance] 2021-22,Agency Type [District] 2021-22
TAZEWELL COUNTY PUBLIC SCHOOLS,Virginia,VA ,TAZEWELL CO PBLC SCHS,5103810,12499,1-Regular local school district that is NOT a component of a supervisory union
TAZEWELL-MASON CNTYS SP ED ASSOC,Illinois,IL ,Tazewell-Mason Cntys Sp Ed Assoc,1700091,–,9-Specialized public school district
TEA AREA SCHOOL DISTRICT 41-5,South Dakota,SD ,Tea Area School District 41-5,4600052,11158,1-Regular local school district that is NOT a component of a supervisory union
TEAGUE ISD,Texas,TX ,TEAGUE ISD,4842300,13637,1-Regular local school district that is NOT a component of a supervisory union
TEANECK SCHOOL DISTRICT,New Jersey,NJ ,Teaneck School District,3416080,38428,1-Regular local school district that is NOT a component of a supervisory union
TEAYS VALLEY LOCAL,Ohio,OH ,Teays Valley Local,3904909,13339,1-Regular local school district that is NOT a component of a supervisory union
TEC CONNECTIONS ACADEMY COMMONWEALTH VIRTUAL SCHOOL DISTRICT,MASSACHUSETTS,MA ,TEC Connections Academy Commonwealth Virtual School District,2500556,8576,1-Regular local school district that is NOT a component of a supervisory union
TECUMSEH,Oklahoma,OK ,TECUMSEH,4029610,10937,1-Regular local school district that is NOT a component of a supervisory union
TECUMSEH LOCAL,Ohio,OH ,Tecumseh Local,3904624,14196,1-Regular local school district that is NOT a component of a supervisory union
TECUMSEH PUBLIC SCHOOLS,Michigan,MI ,Tecumseh Public Schools,2633720,13493,1-Regular local school district that is NOT a component of a supervisory union
TEHACHAPI UNIFIED,California,CA ,Tehachapi Unified,0638880,14111,1-Regular local school district that is NOT a component of a supervisory union
TEHAMA COUNTY DEPARTMENT OF EDUCATION,California,CA ,Tehama County Department of Education,0691043,202372,1-Regular local school district that is NOT a component of a supervisory union
TEHAMA COUNTY ROP,California,CA ,Tehama County ROP,0600146,–,9-Specialized public school district
TEKAMAH-HERMAN COMMUNITY SCHS,Nebraska,NE ,TEKAMAH-HERMAN COMMUNITY SCHS,3100071,20841,1-Regular local school district that is NOT a component of a supervisory union
TEKOA SCHOOL DISTRICT,Washington,WA ,Tekoa School District,5308790,23028,1-Regular local school district that is NOT a component of a supervisory union
TEKONSHA COMMUNITY SCHOOLS,Michigan,MI ,Tekonsha Community Schools,2633750,16712,1-Regular local school district that is NOT a component of a supervisory union
TELFAIR COUNTY,Georgia,GA ,Telfair County,1304830,15811,1-Regular local school district that is NOT a component of a supervisory union
TELL CITY-TROY TWP SCHOOL CORP,Indiana,IN ,Tell City-Troy Twp School Corp,1811260,13052,1-Regular local school district that is NOT a component of a supervisory union
TELLURIDE SCHOOL DISTRICT NO. R-1,Colorado,CO ,Telluride School District No. R-1,0806870,21896,1-Regular local school district that is NOT a component of a supervisory union
TEMECULA VALLEY UNIFIED,California,CA ,Temecula Valley Unified,0600028,14037,1-Regular local school district that is NOT a component of a supervisory union
TEMPE SCHOOL DISTRICT (4258),Arizona,AZ ,Tempe School District (4258),0408310,14452,1-Regular local school district that is NOT a component of a supervisory union
TEMPE UNION HIGH SCHOOL DISTRICT (4287),Arizona,AZ ,Tempe Union High School District (4287),0408340,10517,1-Regular local school district that is NOT a component of a supervisory union
TEMPLE,Oklahoma,OK ,TEMPLE,4029640,13090,1-Regular local school district that is NOT a component of a supervisory union
TEMPLE CITY UNIFIED,California,CA ,Temple City Unified,0638980,15084,1-Regular local school district that is NOT a component of a supervisory union
TEMPLE ISD,Texas,TX ,TEMPLE ISD,4842330,13543,1-Regular local school district that is NOT a component of a supervisory union
TEMPLETON UNIFIED,California,CA ,Templeton Unified,0639000,14191,1-Regular local school district that is NOT a component of a supervisory union
TENAFLY PUBLIC SCHOOL DISTRICT,New Jersey,NJ ,Tenafly Public School District,3416110,27307,1-Regular local school district that is NOT a component of a supervisory union
TENAHA ISD,Texas,TX ,TENAHA ISD,4842360,15867,1-Regular local school district that is NOT a component of a supervisory union
TENINO SCHOOL DISTRICT,Washington,WA ,Tenino School District,5308820,17055,1-Regular local school district that is NOT a component of a supervisory union
TENKILLER,Oklahoma,OK ,TENKILLER,4029670,17009,1-Regular local school district that is NOT a component of a supervisory union
TENNESSEE SCHOOL FOR BLIND,Tennessee,TN ,Tennessee School for Blind,4700145,–,9-Specialized public school district
TENNESSEE SCHOOLS FOR THE DEAF,Tennessee,TN ,Tennessee Schools for the Deaf,4700146,–,9-Specialized public school district
TENSAS PARISH,Louisiana,LA ,Tensas Parish,2201710,26581,1-Regular local school district that is NOT a component of a supervisory union
TERLINGUA CSD,Texas,TX ,TERLINGUA CSD,4842390,38955,1-Regular local school district that is NOT a component of a supervisory union
TERRA BELLA UNION ELEMENTARY,California,CA ,Terra Bella Union Elementary,0639060,16942,1-Regular local school district that is NOT a component of a supervisory union
TERRAL,Oklahoma,OK ,TERRAL,4029760,23125,1-Regular local school district that is NOT a component of a supervisory union
TERREBONNE PARISH,Louisiana,LA ,Terrebonne Parish,2201740,16995,1-Regular local school district that is NOT a component of a supervisory union
TERRELL COUNTY,Georgia,GA ,Terrell County,1304860,18797,1-Regular local school district that is NOT a component of a supervisory union
TERRELL COUNTY ISD,Texas,TX ,TERRELL COUNTY ISD,4842420,30098,1-Regular local school district that is NOT a component of a supervisory union
TERRELL ISD,Texas,TX ,TERRELL ISD,4842450,13487,1-Regular local school district that is NOT a component of a supervisory union
TERRY K-12 SCHOOLS,Montana,MT ,Terry K-12 Schools,3025950,16979,1-Regular local school district that is NOT a component of a supervisory union
TETON COUNTY DISTRICT,Idaho,ID ,TETON COUNTY DISTRICT,1603180,11418,1-Regular local school district that is NOT a component of a supervisory union
TETON COUNTY SCHOOL DISTRICT #1,Wyoming,WY ,Teton County School District #1,5605830,24740,1-Regular local school district that is NOT a component of a supervisory union
TEUTOPOLIS CUSD 50,Illinois,IL ,Teutopolis CUSD 50,1738760,11007,1-Regular local school district that is NOT a component of a supervisory union
TEWKSBURY,Massachusetts,MA ,Tewksbury,2511580,51599,1-Regular local school district that is NOT a component of a supervisory union
TEWKSBURY TOWNSHIP SCHOOL DISTRICT,New Jersey,NJ ,Tewksbury Township School District,3416170,34708,1-Regular local school district that is NOT a component of a supervisory union
TEXARKANA ISD,Texas,TX ,TEXARKANA ISD,4842480,13908,1-Regular local school district that is NOT a component of a supervisory union
TEXARKANA SCHOOL DISTRICT,Arkansas,AR ,TEXARKANA SCHOOL DISTRICT,0513110,14288,1-Regular local school district that is NOT a component of a supervisory union
TEXAS CITY ISD,Texas,TX ,TEXAS CITY ISD,4842510,20864,1-Regular local school district that is NOT a component of a supervisory union
TEXAS TECH UNIVERSITY K-12,TEXAS,TX ,TEXAS TECH UNIVERSITY K-12,4801480,–,1-Regular local school district that is NOT a component of a supervisory union
TEXHOMA,Oklahoma,OK ,TEXHOMA,4029820,11437,1-Regular local school district that is NOT a component of a supervisory union
TEXHOMA ISD,Texas,TX ,TEXHOMA ISD,4842540,9259,1-Regular local school district that is NOT a component of a supervisory union
TEXICO MUNICIPAL SCHOOLS,New Mexico,NM ,TEXICO MUNICIPAL SCHOOLS,3502580,15735,1-Regular local school district that is NOT a component of a supervisory union
TEXLINE ISD,Texas,TX ,TEXLINE ISD,4842570,14419,1-Regular local school district that is NOT a component of a supervisory union
TGU 60,North Dakota,ND ,TGU 60,3800047,19893,1-Regular local school district that is NOT a component of a supervisory union
THACKERVILLE,Oklahoma,OK ,THACKERVILLE,4029850,15993,1-Regular local school district that is NOT a component of a supervisory union
THATCHER UNIFIED DISTRICT (4219),Arizona,AZ ,Thatcher Unified District (4219),0408410,9410,1-Regular local school district that is NOT a component of a supervisory union
THAYER CENTRAL COMMUNITY SCHS,Nebraska,NE ,THAYER CENTRAL COMMUNITY SCHS,3100132,33078,1-Regular local school district that is NOT a component of a supervisory union
THAYER R-II,Missouri,MO ,THAYER R-II,2930270,10354,1-Regular local school district that is NOT a component of a supervisory union
THE FORKS PLT SCHOOL DEPT,Maine,ME ,The Forks Plt School Dept,2300052,–,1-Regular local school district that is NOT a component of a supervisory union
THE GILBERT SCHOOL DISTRICT,Connecticut,CT ,The Gilbert School District,0905372,587,1-Regular local school district that is NOT a component of a supervisory union
THE GOVERNOR'S SCHOOL @ INNOVATION PARK,Virginia,VA ,THE GOVERNOR'S SCHOOL @ INNOVATION PARK,5100252,–,9-Specialized public school district
THE LOWER ALLOWAYS CREEK SCHOOL DISTRICT,New Jersey,NJ ,The Lower Alloways Creek School District,3409030,37315,1-Regular local school district that is NOT a component of a supervisory union
THE REGIONAL COMMUNITY ALTERNATIVE ED CONTINUUM,Virginia,VA ,THE REGIONAL COMMUNITY ALTERNATIVE ED CONTINUUM,5100082,–,9-Specialized public school district
THE WOODSTOCK ACADEMY DISTRICT,Connecticut,CT ,The Woodstock Academy District,0905373,0,1-Regular local school district that is NOT a component of a supervisory union
THEDFORD PUBLIC SCHOOLS,Nebraska,NE ,THEDFORD PUBLIC SCHOOLS,3177730,23908,1-Regular local school district that is NOT a component of a supervisory union
THERMALITO UNION ELEMENTARY,California,CA ,Thermalito Union Elementary,0639180,20417,1-Regular local school district that is NOT a component of a supervisory union
THETFORD SCHOOL DISTRICT,Vermont,VT ,Thetford School District,5008010,23789,2-Local school district that is a component of a supervisory union
THIEF RIVER FALLS SCHOOL DISTRICT,Minnesota,MN ,THIEF RIVER FALLS SCHOOL DISTRICT,2738850,15894,1-Regular local school district that is NOT a component of a supervisory union
THOMAS COUNTY,Georgia,GA ,Thomas County,1304890,14962,1-Regular local school district that is NOT a component of a supervisory union
THOMAS-FAY-CUSTER UNIFIED DIST,Oklahoma,OK ,THOMAS-FAY-CUSTER UNIFIED DIST,4000015,18285,1-Regular local school district that is NOT a component of a supervisory union
THOMASBORO CCSD 130,Illinois,IL ,Thomasboro CCSD 130,1738790,25770,1-Regular local school district that is NOT a component of a supervisory union
THOMASTON SCHOOL DISTRICT,Connecticut,CT ,Thomaston School District,0904500,24089,1-Regular local school district that is NOT a component of a supervisory union
THOMASTON-UPSON COUNTY,Georgia,GA ,Thomaston-Upson County,1305280,15094,1-Regular local school district that is NOT a component of a supervisory union
THOMASVILLE CITY,Georgia,GA ,Thomasville City,1304950,14650,1-Regular local school district that is NOT a component of a supervisory union
THOMASVILLE CITY,Alabama,AL ,Thomasville City,0103300,16280,1-Regular local school district that is NOT a component of a supervisory union
THOMASVILLE CITY SCHOOLS,North Carolina,NC ,Thomasville City Schools,3704500,14366,1-Regular local school district that is NOT a component of a supervisory union
THOMPSON 61,North Dakota,ND ,THOMPSON 61,3818280,20185,1-Regular local school district that is NOT a component of a supervisory union
THOMPSON FALLS ELEM,Montana,MT ,Thompson Falls Elem,3026070,16352,1-Regular local school district that is NOT a component of a supervisory union
THOMPSON FALLS H S,Montana,MT ,Thompson Falls H S,3026100,14167,1-Regular local school district that is NOT a component of a supervisory union
THOMPSON SCHOOL DISTRICT,Connecticut,CT ,Thompson School District,0904530,27943,1-Regular local school district that is NOT a component of a supervisory union
THOMPSON SCHOOL DISTRICT R-2J,Colorado,CO ,Thompson School District R-2J,0805400,16792,1-Regular local school district that is NOT a component of a supervisory union
THOMPSONVILLE CUSD 174,Illinois,IL ,Thompsonville CUSD 174,1701382,13987,1-Regular local school district that is NOT a component of a supervisory union
THORNAPPLE KELLOGG SCHOOL DISTRICT,Michigan,MI ,Thornapple Kellogg School District,2633810,19472,1-Regular local school district that is NOT a component of a supervisory union
THORNDALE ISD,Texas,TX ,THORNDALE ISD,4842630,14971,1-Regular local school district that is NOT a component of a supervisory union
THORNFIELD R-I,Missouri,MO ,THORNFIELD R-I,2923370,27385,1-Regular local school district that is NOT a component of a supervisory union
THORNTON FRACTIONAL TWP HSD 215,Illinois,IL ,Thornton Fractional Twp HSD 215,1738940,21408,1-Regular local school district that is NOT a component of a supervisory union
THORNTON SCHOOL DISTRICT,New Hampshire,NH ,Thornton School District,3306660,27937,2-Local school district that is a component of a supervisory union
THORNTON SD 154,Illinois,IL ,Thornton SD 154,1738910,15148,1-Regular local school district that is NOT a component of a supervisory union
THORNTON TWP HSD 205,Illinois,IL ,Thornton Twp HSD 205,1738970,25950,1-Regular local school district that is NOT a component of a supervisory union
THORP SCHOOL DISTRICT,Wisconsin,WI ,Thorp School District,5514820,17998,1-Regular local school district that is NOT a component of a supervisory union
THORP SCHOOL DISTRICT,Washington,WA ,Thorp School District,5308850,25504,1-Regular local school district that is NOT a component of a supervisory union
THOUSAND ISLANDS CENTRAL SCHOOL DISTRICT,New York,NY ,THOUSAND ISLANDS CENTRAL SCHOOL DISTRICT,3607650,26865,1-Regular local school district that is NOT a component of a supervisory union
THRALL ISD,Texas,TX ,THRALL ISD,4842660,12811,1-Regular local school district that is NOT a component of a supervisory union
THREE CREEK JOINT ELEMENTARY DISTRICT,Idaho,ID ,THREE CREEK JOINT ELEMENTARY DISTRICT,1603210,84667,1-Regular local school district that is NOT a component of a supervisory union
THREE FORKS ELEM,Montana,MT ,Three Forks Elem,3026160,19477,1-Regular local school district that is NOT a component of a supervisory union
THREE FORKS H S,Montana,MT ,Three Forks H S,3026190,37973,1-Regular local school district that is NOT a component of a supervisory union
